"author","degree","wdegree","betweenness","eigenvector","community","primary_neighbor_MaxW","primary_neighbors"
"Kinnunen Tuure",13,222,0.00131066888324649,0.0435615491883441,12,"Knip Mikael","Knip Mikael, Toppari Jorma, Lempainen Johanna, Hyöty Heikki, Lohi Olli, Paakinaho Ville, Varjosalo Markku, Haapasalo Annakaisa, Vapalahti Olli"
"Kivelä Riikka",24,258,0.00172117441618642,0.00653743453825114,6,"Alitalo Kari","Alitalo Kari, Yla Herttuala, Elenius Klaus, Varjosalo Markku, Ojala Tiina, Saharinen Pipsa, Eklund Lauri, Kerkelä Risto, Taimen Pekka, Saraste Antti, Wartiovaara Anu, Haglund Caj, Tavi Pasi, Carpen Olli, Palotie Aarno, Virtanen Kirsi"
"Knip Mikael",51,2287,0.0318918616235444,0.357861356367078,12,"Toppari Jorma","Hyöty Heikki, Toppari Jorma, Lempainen Johanna, Lahesmaa Riitta, Lindfors Katri, Kinnunen Tuure, Otonkoski Timo, Elo Laura, Groop Per-Henrik, Lund Riikka, Kere Juha, Söderlund-Venermo Maria, Tapanainen Juha, Vapalahti Olli, Sironen Tarja, Hytönen Vesa, Laakso Markku, Aittokallio Tero, Jartti Tuomas, Ashorn Per, Hallman Mikko, Jalkanen Sirpa, Kaukinen Katri, Rämet Mika, Saarma Mart, Salmi Marko, Sandholm-Lafferre Niina, Tienari Pentti, Urtti Arto, Airas Laura, He Qiushui, Meri Seppo, Mäkinen Taija, Pakarinen Mikko, Palotie Aarno"
"Koistinaho Jari",37,774,0.0188168540008694,0.00561197447736082,6,"Malm Tarja","Malm Tarja, Kanninen Katja, Haapasalo Annakaisa, Yla Herttuala, Hovatta Iiris, Tavi Pasi, Laakso Markku, Hiltunen Mikko, Rinne Juha, Leinonen Ville, Kaikkonen-Määttä Minna, Tohka Jussi, Alitalo Kari, Myllyharju Johanna, Pihlajaniemi Taina, Varjosalo Markku, Eklund Lauri, Koivunen Peppi, Huttunen Kristiina, Vapalahti Olli, Kaila Kai, Lindsberg Perttu, Oksala Niku, Pörsti Ilkka"
"Koivunen Jussi",10,74,0,0.00243024085008268,14,"Jalkanen Sirpa","Jalkanen Sirpa, Leppä Sirpa, Izzi Valerio, Pihlajaniemi Taina, Koivunen Peppi, Elenius Klaus, Elo Laura, Ristimäki Ari"
"Koivunen Peppi",21,220,0.00563082786910863,0.00258001451799281,6,"Myllyharju Johanna","Myllyharju Johanna, Kerkelä Risto, Izzi Valerio, Pihlajaniemi Taina, Aaltonen Lauri, Kajantie Eero, Koivunen Jussi, Piltonen Terhi, Palotie Aarno, Ala-Korpela Mika, Alitalo Kari, Junttila Juhani, Koistinaho Jari, Malm Tarja, Rämet Mika, Kursula Petri"
"Kontro Mika",18,1066,4.18918352813037e-05,0.144083604177895,5,"Heckman Caroline","Heckman Caroline, Aittokallio Tero, Mustjoki Satu, Wartiovaara-Kautto Ulla, Lohi Olli, Vähärautio Anna, Varjosalo Markku, Kilpivaara Outi, Peltomäki Päivi, Ristimäki Ari, Leppä Sirpa, Niemi Mikko, Jalkanen Sirpa, Salmi Marko, Visakorpi Tapio"
"Korhonen Rami",5,82,0,6.63244440908062e-06,3,"Saarakkala Simo","Saarakkala Simo, Töyräs Juha, Afara Isaac"
"Kotaja Noora",15,115,0.000271328138879385,0.0154955269791965,12,"Toppari Jorma","Toppari Jorma, Poutanen Matti, Kauppi Liisa, Rantakari Pia, Salmi Marko, Elo Laura, Silvennoinen Olli, Sistonen Lea, Visakorpi Tapio, Westermarck Jukka, Ketola Kirsi, Ruusuvuori Pekka, Ungureanu Daniela"
"Kursula Inari",3,78,0,8.10605223909668e-06,7,"Kursula Petri","Kursula Petri, Haapalainen Antti"
"Kursula Petri",9,106,0.000954794198743585,7.55344469040282e-05,7,"Kursula Inari","Kursula Inari, Vattulainen Ilpo, Myllyharju Johanna, Tyynismaa Henna, Izzi Valerio, Pihlajaniemi Taina, Koivunen Peppi, Myöhänen Timo"
"Kähäri Veli-Matti",26,463,0.0177594272102253,0.0290290411723659,5,"Joensuu Heikki","Westermarck Jukka, Heino Jyrki, Joensuu Heikki, Meri Seppo, Pellinen Teijo, Pihlajaniemi Taina, Elo Laura, Eriksson John, Ivaska Johanna, Carpen Olli, Elenius Klaus, Kere Juha, Leppä Sirpa, Boström Peter, Ketola Kirsi, Rantakari Pia, Lahesmaa Riitta, Mäkitie Antti, Taimen Pekka, Yla Herttuala"
"Kälviäinen Reetta",34,971,0.000833514532144669,0.0707333373079365,1,"Aalto-Setälä Katriina","Aalto-Setälä Katriina, Rinne Juha, Palotie Aarno, Carpen Olli, Hiltunen Mikko, Schleutker Johanna, Junttila Juhani, Tienari Pentti, Kaarniranta Kai, Ganna Andrea, Hovatta Iiris, Joensuu Heikki, Mäkitie Antti, Lehesjoki Anna-Elina, Pirinen Matti, Niiranen Teemu, Malm Tarja, Wartiovaara Anu, Myllyharju Johanna, Ollikainen Miina, Turunen Joni, Hallman Mikko, Leinonen Ville, Tohka Jussi, Lindsberg Perttu, Tukiainen Taru, Töyräs Juha"
"Laakso Markku",51,626,0.0186138172492458,0.0160932993689787,1,"Palotie Aarno","Ala-Korpela Mika, Palotie Aarno, Pietiläinen Kirsi, Yla Herttuala, Hiltunen Mikko, Virtanen Kirsi, Otonkoski Timo, Kaikkonen-Määttä Minna, Koistinaho Jari, Leinonen Ville, Haapasalo Annakaisa, Pirinen Matti, Ganna Andrea, Groop Per-Henrik, Nummenmaa Lauri, Tukiainen Taru, Hovatta Iiris, Hirvonen Jussi, Jalkanen Sirpa, Kajantie Eero, Salmi Marko, Kere Juha, Knip Mikael, Aalto-Setälä Katriina, Ikonen Elina, Vapalahti Olli, Yki-Järvinen Hannele, Tapanainen Juha, Tavi Pasi, Visakorpi Tapio, Haglund Caj, Olkkonen Vesa, Saraste Antti, Taimen Pekka, Toppari Jorma"
"Lahesmaa Riitta",42,931,0.00679018231801944,0.12008352364748,12,"Lund Riikka","Elo Laura, Knip Mikael, Lund Riikka, Hyöty Heikki, Toppari Jorma, Aittokallio Tero, Otonkoski Timo, Kere Juha, Westermarck Jukka, Pihlajaniemi Taina, Skottman Heli, Rautajoki Kirsi, Lempainen Johanna, Nykter Matti, Ganna Andrea, Mustjoki Satu, Silvennoinen Olli, Carpen Olli, Jalkanen Sirpa, Alitalo Kari, Haglund Caj, Ristimäki Ari, Vuoristo Sanna, Eriksson John, Hautaniemi Sampsa, Jartti Tuomas, Rinne Juha, Airas Laura, Kähäri Veli-Matti, Olkkonen Vesa"
"Laitinen Kirsi",17,78,0.011148217082416,0.00137746155412824,1,"Elo Laura","Elo Laura, Hirvonen Jussi, Ojala Tiina, Nummenmaa Lauri, Aalto-Setälä Katriina, Jartti Tuomas, Pussinen Pirkko, Virtanen Kirsi, Ashorn Per, Lund Riikka, Roivainen Anne"
"Lappalainen Pekka",22,160,0.024484985754715,0.00167444311441195,14,"Paavilainen Ville","Paavilainen Ville, Vattulainen Ilpo, Varjosalo Markku, Jacquemet Guillaume, Ivaska Johanna, Huiskonen Juha, Ikonen Elina, Mäkitie Outi, Eriksson John, Frilander Mikko, Hietakangas Ville, Mattila Jaakko, Ojala Tiina, Wartiovaara Anu, Aaltonen Lauri, Butcher Sarah, Carpen Olli, Haapasalo-Tuomainen Karita, Olkkonen Vesa"
"Latvala Antti",6,34,0.000867291422777159,0.000711657133568771,1,"Pietiläinen Kirsi","Ollikainen Miina, Pietiläinen Kirsi, Palotie Aarno, Rinne Juha, Ganna Andrea"
"Lehesjoki Anna-Elina",19,126,0.0190367084077025,0.00432864185955793,1,"Kälviäinen Reetta","Kälviäinen Reetta, Palotie Aarno, Kallijärvi Jukka, Mäkitie Outi, Kere Juha, Turunen Joni, Hovatta Iiris, Ikonen Elina, Saarma Mart, Pirinen Matti, Toppari Jorma, Kaila Kai, Savarese Marco, Tyynismaa Henna"
"Lehtonen Sanna",15,114,0.00410099909911397,0.0027693083087451,11,"Kere Juha","Olkkonen Vesa, Kere Juha, Lohi Hannes, Ketola Kirsi, Groop Per-Henrik, Otonkoski Timo, Pietiläinen Kirsi, Heikinheimo Markku, Hyvärinen Kati, Ikonen Elina, Alitalo Kari, Jernvall Jukka, Palotie Aarno, Saarma Mart"
"Leinonen Ville",32,506,0.00051317498219597,0.0100912151613258,1,"Hiltunen Mikko","Hiltunen Mikko, Haapasalo Annakaisa, Rinne Juha, Malm Tarja, Järvinen Teppo, Laakso Markku, Jussi Posti, Koistinaho Jari, Kaarniranta Kai, Hovatta Iiris, Tohka Jussi, Seppälä Toni, Virtanen Kirsi, Kälviäinen Reetta, Haapasalo-Tuomainen Karita, Meri Seppo, Palotie Aarno, Varjosalo Markku, Kanninen Katja, Tienari Pentti, Yla Herttuala"
"Lempainen Johanna",22,509,0.000209459176406518,0.0774794844981636,12,"Knip Mikael","Knip Mikael, Toppari Jorma, Kakkola Laura, Kantele Anu, Kinnunen Tuure, Hyöty Heikki, Vapalahti Olli, Sironen Tarja, Lahesmaa Riitta, Groop Per-Henrik, Otonkoski Timo, Kere Juha, Elo Laura, Kaukinen Katri, Lindfors Katri"
"Leppä Sirpa",41,1274,0.00877311460131618,0.137965900557395,5,"Ristimäki Ari","Ojala Päivi, Ristimäki Ari, Haglund Caj, Pellinen Teijo, Hautaniemi Sampsa, Varjosalo Markku, Mustjoki Satu, Nykter Matti, Meri Seppo, Heckman Caroline, Lohi Olli, Kauppi Liisa, Sistonen Lea, Carpen Olli, Aaltonen Lauri, Koivunen Jussi, Kilpivaara Outi, Mäkitie Antti, Eriksson John, Heino Jyrki, Kähäri Veli-Matti, Joensuu Heikki, Kontro Mika, Wartiovaara Anu, Westermarck Jukka, Kaarniranta Kai, Elenius Klaus, Yla Herttuala"
"Li Wei",2,14,0,0,15,"Li Wei",NA
"Lindfors Katri",20,700,0.00321700929970378,0.110351461332216,12,"Toppari Jorma","Kaukinen Katri, Toppari Jorma, Hyöty Heikki, Knip Mikael, Nykter Matti, Roivainen Anne, Palotie Aarno, Kaikkonen-Määttä Minna, Visakorpi Tapio, Aalto-Setälä Katriina, Kere Juha, Lempainen Johanna, Lohi Olli, Pörsti Ilkka, Heikinheimo Markku"
"Lindsberg Perttu",22,120,0.0122866933568203,0.00414976099135922,13,"Carpen Olli","Carpen Olli, Putaala Jukka, Groop Per-Henrik, Sandholm-Lafferre Niina, Meri Seppo, Tienari Pentti, Kälviäinen Reetta, Rinne Juha, Wartiovaara Anu, Airavaara Mikko, Niiranen Teemu, Airas Laura, Jalkanen Sirpa, Hautaniemi Sampsa, Kere Juha, Koistinaho Jari, Malm Tarja, Oksala Niku, Palotie Aarno, Ristimäki Ari"
"Lohi Hannes",14,132,0.00107957919318985,0.00256898825019106,11,"Kere Juha","Kere Juha, Lehtonen Sanna, Turunen Joni, Peltomäki Päivi, Sandholm-Lafferre Niina, Meri Seppo, Tyynismaa Henna, Wartiovaara Anu, Savarese Marco, Mikkola Marja"
"Lohi Olli",31,438,0.00739283745127656,0.075703113574555,2,"Nykter Matti","Nykter Matti, Heckman Caroline, Auvinen Anssi, Mustjoki Satu, Leppä Sirpa, Lund Riikka, Ruusuvuori Pekka, Rämet Mika, Kontro Mika, Kaukinen Katri, Wartiovaara-Kautto Ulla, Kaikkonen-Määttä Minna, Rautajoki Kirsi, Pakarinen Mikko, Hautaniemi Sampsa, Heinäniemi Merja, Kinnunen Tuure, Paakinaho Ville, Varjosalo Markku, Vähärautio Anna, Heikinheimo Markku, Kilpivaara Outi, Lindfors Katri, Hyöty Heikki, Toppari Jorma"
"Lund Riikka",23,414,0.00217430261730878,0.0438426817563172,12,"Lahesmaa Riitta","Lahesmaa Riitta, Elo Laura, Knip Mikael, Toppari Jorma, Rinne Juha, Lohi Olli, Ruusuvuori Pekka, Ollikainen Miina, Aittokallio Tero, Otonkoski Timo, Hyöty Heikki, Nykter Matti, Skottman Heli, Carpen Olli, Jartti Tuomas, Vuoristo Sanna, Boström Peter, Laitinen Kirsi"
"Lundin Johan",30,466,0.00359412149345541,0.0391351365194055,5,"Joensuu Heikki","Joensuu Heikki, Haglund Caj, Ketola Kirsi, Pellinen Teijo, Ristimäki Ari, Elenius Klaus, Kere Juha, Alitalo Kari, Ikonen Elina, Ivaska Johanna, Kajantie Eero, Mustjoki Satu, Boström Peter, Hautaniemi Sampsa, Sahu Biswajyoti, Taimen Pekka, Sistonen Lea, Cerullo Vincenzo, Heckman Caroline, Mäkitie Antti, Tammela Teuvo, Westermarck Jukka"
"Luukkonen Panu",13,162,0.00165283134052771,0.000339743727761825,14,"Ikonen Elina","Yki-Järvinen Hannele, Ikonen Elina, Olkkonen Vesa, Tukiainen Taru, Pihlajaniemi Taina, Pakarinen Mikko, Ala-Korpela Mika, Niemi Mikko, Niiranen Teemu, Pietiläinen Kirsi"
"Malinen Anssi",3,24,4.18918352813037e-05,0,8,"Belogurov Georgi","Belogurov Georgi, Metsä-Ketelä Mikko"
"Malm Tarja",39,792,0.00255477024988147,0.00558319431840131,6,"Koistinaho Jari","Koistinaho Jari, Kanninen Katja, Leinonen Ville, Yla Herttuala, Haapasalo Annakaisa, Kaikkonen-Määttä Minna, Rinne Juha, Hiltunen Mikko, Pietiläinen Kirsi, Tavi Pasi, Tohka Jussi, Kälviäinen Reetta, Myllyharju Johanna, Alitalo Kari, Nummenmaa Lauri, Huttunen Kristiina, Haapasalo-Tuomainen Karita, Meri Seppo, Varjosalo Markku, Eklund Lauri, Koivunen Peppi, Pihlajaniemi Taina, Airas Laura, Hovatta Iiris, Skottman Heli, Kaarniranta Kai, Lindsberg Perttu"
"Mattila Jaakko",7,50,0.000569030762571042,0.00132064373640876,5,"Hietakangas Ville","Hietakangas Ville, Katajisto Pekka, Varjosalo Markku, Westermarck Jukka, Hovatta Iiris, Lappalainen Pekka, Kallijärvi Jukka"
"McWilliams Thomas",7,50,0,0.00102729178706991,1,"Wartiovaara Anu","Wartiovaara Anu, Tienari Pentti, Cerullo Vincenzo, Mustjoki Satu, Ikonen Elina"
"Meinander Annika",10,350,7.36280741307762e-05,0.0257309071829759,5,"Aittokallio Tero","Aittokallio Tero, Haikala Heidi, Hietakangas Ville, Westermarck Jukka, Eriksson John, Taimen Pekka, Sistonen Lea, Rosenholm Jessica"
"Meri Seppo",54,452,0.0480948441706265,0.0139178358387718,5,"Kähäri Veli-Matti","Haapasalo-Tuomainen Karita, Kähäri Veli-Matti, Vapalahti Olli, Leppä Sirpa, Sironen Tarja, Kere Juha, Hautaniemi Sampsa, Heino Jyrki, Alitalo Kari, Pihlajaniemi Taina, Nykter Matti, Varjosalo Markku, Kajantie Eero, Lindsberg Perttu, Ritari Jarmo, Kaarniranta Kai, Pellinen Teijo, Tapanainen Juha, Vuoristo Sanna, Carpen Olli, Yla Herttuala, Fagerholm Susanna, Kekäläinen Eliisa, Pietiläinen Kirsi, Leinonen Ville, Malm Tarja, He Qiushui, Lohi Hannes, Pussinen Pirkko, Rämet Mika, Hautala Timo, Hyvärinen Kati, Palotie Aarno, Tienari Pentti, Groop Per-Henrik, Hallman Mikko, Kantele Anu, Kilpivaara Outi, Knip Mikael, Mustjoki Satu, Mäkitie Antti, Olkkonen Vesa, Pörsti Ilkka, Saarma Mart, Urtti Arto"
"Metsä-Ketelä Mikko",3,22,0,0,8,"Belogurov Georgi","Belogurov Georgi, Malinen Anssi"
"Mikkola Marja",7,40,0.00488224404587355,0.000233014134606129,11,"Jernvall Jukka","Jernvall Jukka, Kere Juha, Di-Poi Nicolas, Lohi Hannes, Otonkoski Timo, Poutanen Matti"
"Mustjoki Satu",53,1460,0.0179205033861311,0.154931881213139,5,"Ketola Kirsi","Ketola Kirsi, Heckman Caroline, Aittokallio Tero, Kontro Mika, Leppä Sirpa, Pellinen Teijo, Varjosalo Markku, Kere Juha, Lohi Olli, Cerullo Vincenzo, Nykter Matti, Haikala Heidi, Hautaniemi Sampsa, Joensuu Heikki, Otonkoski Timo, Hautala Timo, Ilonen Ilkka, Ganna Andrea, Wartiovaara-Kautto Ulla, Sahu Biswajyoti, Lahesmaa Riitta, Salmi Marko, Silvennoinen Olli, Yla Herttuala, Saharinen Pipsa, Kauppi Liisa, Lundin Johan, McWilliams Thomas, Mäkitie Antti, Tienari Pentti, Vähärautio Anna, Alitalo Kari, Elo Laura, Carpen Olli, Kekäläinen Eliisa, Meri Seppo, Mäkitie Outi, Niemi Mikko"
"Myllyharju Johanna",29,284,0.00309742633185084,0.00707922990451754,6,"Koivunen Peppi","Koivunen Peppi, Izzi Valerio, Pihlajaniemi Taina, Kerkelä Risto, Heino Jyrki, Rämet Mika, Carpen Olli, Kaarniranta Kai, Koistinaho Jari, Kälviäinen Reetta, Malm Tarja, Palotie Aarno, Rinne Juha, Schleutker Johanna, Turunen Joni, Kursula Petri, Varjosalo Markku, Alitalo Kari, Kanninen Katja, Aaltonen Lauri, Eklund Lauri, Wei Gonghong"
"Myöhänen Timo",11,32,0.0104039407383264,0.000422568433765402,4,"Andressoo Jaan-Olle","Andressoo Jaan-Olle, Urtti Arto, Alitalo Kari, Saarma Mart, Kaarniranta Kai, Airavaara Mikko, Carpen Olli, Hovatta Iiris, Huttunen Kristiina, Kursula Petri"
"Mäkinen Taija",14,158,0.00236124115412792,0.0061025504459632,6,"Alitalo Kari","Alitalo Kari, Saharinen Pipsa, Eklund Lauri, Yla Herttuala, Vaahtomeri Kari, Haglund Caj, Hautaniemi Sampsa, Ojala Päivi, Ikonen Elina, Knip Mikael, Ristimäki Ari"
"Mäkitie Antti",52,643,0.0338644429551242,0.0473009892983544,1,"Haglund Caj","Haglund Caj, Joensuu Heikki, Palotie Aarno, Aalto-Setälä Katriina, Carpen Olli, Ganna Andrea, Hiltunen Mikko, Hovatta Iiris, Junttila Juhani, Kaarniranta Kai, Kälviäinen Reetta, Pirinen Matti, Söderlund-Venermo Maria, Mäkitie Outi, Hirvonen Jussi, Hytönen Vesa, Leppä Sirpa, Heikinheimo Markku, Aaltonen Lauri, Mustjoki Satu, Ivaska Johanna, Cerullo Vincenzo, Elenius Klaus, Vapalahti Olli, Westermarck Jukka, Ilonen Ilkka, Ketola Kirsi, Niemi Mikko, Pellinen Teijo, Ristimäki Ari, Schleutker Johanna, Seppälä Toni, Alitalo Kari, Hautaniemi Sampsa, Kähäri Veli-Matti, Lundin Johan, Meri Seppo, Urtti Arto"
"Mäkitie Outi",21,160,0.00546768077540095,0.00241331578188462,11,"Kajantie Eero","Kajantie Eero, Mäkitie Antti, Lehesjoki Anna-Elina, Kekäläinen Eliisa, Olkkonen Vesa, Kere Juha, Lappalainen Pekka, Hovatta Iiris, Pietiläinen Kirsi, Varjosalo Markku, Pakarinen Mikko, Wei Gonghong, Mustjoki Satu, Roivainen Anne, Toppari Jorma, Wartiovaara-Kautto Ulla"
"Najumudeen Arafath",10,36,0.000168265538379903,0.00167583133877073,14,"Alitalo Kari","Alitalo Kari, Hietakangas Ville, Katajisto Pekka, Ristimäki Ari, Ivaska Johanna, Jacquemet Guillaume, Vattulainen Ilpo, Aittokallio Tero"
"Niemi Mikko",19,96,0.017293132232808,0.00184108138826983,13,"Putaala Jukka","Putaala Jukka, Backman Janne, Palotie Aarno, Ganna Andrea, Huttunen Kristiina, Sajantila Antti, Kontro Mika, Heikinheimo Markku, Mäkitie Antti, Elenius Klaus, Hautaniemi Sampsa, Luukkonen Panu, Mustjoki Satu, Pakarinen Mikko, Wartiovaara Anu"
"Niiranen Teemu",31,232,0.00135559472621179,0.0139113780311012,1,"Schleutker Johanna","Palotie Aarno, Jalkanen Sirpa, Salmi Marko, Schleutker Johanna, Ganna Andrea, Pörsti Ilkka, Kälviäinen Reetta, Pirinen Matti, Aalto-Setälä Katriina, Carpen Olli, Hiltunen Mikko, Rinne Juha, Tienari Pentti, Ala-Korpela Mika, Junttila Juhani, Pussinen Pirkko, Putaala Jukka, Lindsberg Perttu, Tukiainen Taru, Luukkonen Panu, Pietiläinen Kirsi"
"Nummenmaa Lauri",17,300,1.9948492991097e-05,0.00256264200393214,1,"Hirvonen Jussi","Hirvonen Jussi, Rinne Juha, Virtanen Kirsi, Laakso Markku, Roivainen Anne, Laitinen Kirsi, Malm Tarja, Pietiläinen Kirsi, Elo Laura, Saraste Antti"
"Nykter Matti",58,1153,0.0321484691830564,0.338979611713397,2,"Tammela Teuvo","Visakorpi Tapio, Tammela Teuvo, Lohi Olli, Heckman Caroline, Ruusuvuori Pekka, Rautajoki Kirsi, Leppä Sirpa, Mustjoki Satu, Ketola Kirsi, Rämet Mika, Schleutker Johanna, Seppälä Toni, Westermarck Jukka, Hyöty Heikki, Hautaniemi Sampsa, Meri Seppo, Aaltonen Lauri, Lahesmaa Riitta, Lindfors Katri, Lund Riikka, Toppari Jorma, Järvinen Tero, Sanches Ribeiro, Ungureanu Daniela, Elo Laura, Wei Gonghong, Kaukinen Katri, Paakinaho Ville, Palotie Aarno, Ristimäki Ari, Skottman Heli, Aalto-Setälä Katriina, Auvinen Anssi, Hytönen Vesa, Jacquemet Guillaume, Jussi Posti, Kaikkonen-Määttä Minna, Oksala Niku, Vehkaoja Antti, Eklund Lauri, Hiltunen Mikko, Tavi Pasi"
"Nymark Soile",4,76,0,0.000314940838534792,1,"Skottman Heli","Skottman Heli, Kaarniranta Kai, Urtti Arto"
"Ojala Päivi",31,874,0.0331150219289328,0.112274554004912,5,"Ristimäki Ari","Leppä Sirpa, Haglund Caj, Ristimäki Ari, Hautaniemi Sampsa, Alitalo Kari, Saharinen Pipsa, Aaltonen Lauri, Carpen Olli, Ivaska Johanna, Vaahtomeri Kari, Varjosalo Markku, Mäkinen Taija, Aittokallio Tero, Kakkola Laura, Sahu Biswajyoti, Vapalahti Olli, Westermarck Jukka, Pellinen Teijo, Frilander Mikko, Ikonen Elina, Olkkonen Vesa, Otonkoski Timo, Palotie Aarno, Yla Herttuala"
"Ojala Tiina",12,68,0.00313530452716075,0.000764453415275439,1,"Kivelä Riikka","Kivelä Riikka, Laitinen Kirsi, Wartiovaara Anu, Varjosalo Markku, Kajantie Eero, Lappalainen Pekka, Palotie Aarno, Tyynismaa Henna, Kere Juha, Vapalahti Olli"
"Oksala Niku",20,213,0.00461593309615243,0.0158242144772769,13,"Vehkaoja Antti","Vehkaoja Antti, Ala-Korpela Mika, Kaarniranta Kai, Hytönen Vesa, Putaala Jukka, Sistonen Lea, Tammela Teuvo, Palotie Aarno, Auvinen Anssi, Ketola Kirsi, Nykter Matti, Visakorpi Tapio, Haglund Caj, Koistinaho Jari, Lindsberg Perttu"
"Olkkonen Vesa",33,260,0.0222025690041274,0.0028660196829177,14,"Ikonen Elina","Ikonen Elina, Yki-Järvinen Hannele, Lehtonen Sanna, Luukkonen Panu, Yla Herttuala, Varjosalo Markku, Hyvärinen Kati, Mäkitie Outi, Elo Laura, Ivaska Johanna, Roivainen Anne, Groop Per-Henrik, Pellinen Teijo, Pussinen Pirkko, Tukiainen Taru, Carpen Olli, Rantamäki Tomi, Wartiovaara Anu, Ala-Korpela Mika, Alitalo Kari, Haglund Caj, Laakso Markku, Lahesmaa Riitta, Lappalainen Pekka, Meri Seppo, Ojala Päivi, Pietiläinen Kirsi"
"Ollikainen Miina",24,296,0.00440118756910327,0.00664646741247226,1,"Pietiläinen Kirsi","Pietiläinen Kirsi, Peltomäki Päivi, Rinne Juha, Elo Laura, Lund Riikka, Groop Per-Henrik, Latvala Antti, Brenner Charles, Katajisto Pekka, Pirinen Matti, Otonkoski Timo, Skottman Heli, Hiltunen Mikko, Kälviäinen Reetta, Palotie Aarno, Kanninen Katja, Kere Juha, Virtanen Kirsi, Wartiovaara Anu, Yki-Järvinen Hannele, Heckman Caroline"
"Otonkoski Timo",55,554,0.020671422139418,0.0376195494137452,11,"Kere Juha","Knip Mikael, Kere Juha, Lahesmaa Riitta, Vuoristo Sanna, Varjosalo Markku, Laakso Markku, Skottman Heli, Hietakangas Ville, Lund Riikka, Mustjoki Satu, Katajisto Pekka, Alitalo Kari, Tapanainen Juha, Toppari Jorma, Groop Per-Henrik, Wartiovaara Anu, Aittokallio Tero, Haikala Heidi, Joensuu Heikki, Lehtonen Sanna, Silvennoinen Olli, Lempainen Johanna, Ollikainen Miina, Tyynismaa Henna, Aalto-Setälä Katriina, Pakarinen Mikko, Saarma Mart, Elo Laura, Poutanen Matti, Sahu Biswajyoti, Andressoo Jaan-Olle, Tienari Pentti, Vapalahti Olli, Frilander Mikko, Heikinheimo Markku, Ivaska Johanna, Kajantie Eero, Mikkola Marja, Ojala Päivi, Urtti Arto"
"Paakinaho Ville",11,36,0.00212411553369201,0.00271592874662182,11,"Varjosalo Markku","Varjosalo Markku, Yla Herttuala, Kinnunen Tuure, Lohi Olli, Nykter Matti, Hiltunen Mikko, Kaikkonen-Määttä Minna, Sistonen Lea, Visakorpi Tapio"
"Paavilainen Ville",8,72,0.00084365501608181,0.000349550684852713,14,"Lappalainen Pekka","Lappalainen Pekka, Huiskonen Juha, Frilander Mikko, Vapalahti Olli, Varjosalo Markku, Kaila Kai, Katajisto Pekka"
"Pakarinen Mikko",12,68,0.00233379116752247,0.00274265096763718,11,"Heikinheimo Markku","Heikinheimo Markku, Alitalo Kari, Carpen Olli, Otonkoski Timo, Lohi Olli, Haglund Caj, Luukkonen Panu, Mäkitie Outi, Knip Mikael, Niemi Mikko"
"Palotie Aarno",103,1751,0.0487733218284934,0.0967880872349114,1,"Pirinen Matti","Pirinen Matti, Kälviäinen Reetta, Schleutker Johanna, Rinne Juha, Laakso Markku, Hiltunen Mikko, Aalto-Setälä Katriina, Ala-Korpela Mika, Ganna Andrea, Carpen Olli, Tukiainen Taru, Hallman Mikko, Tienari Pentti, Mäkitie Antti, Jalkanen Sirpa, Junttila Juhani, Salmi Marko, Aaltonen Lauri, Alitalo Kari, Turunen Joni, Niiranen Teemu, Groop Per-Henrik, Lehesjoki Anna-Elina, Kaarniranta Kai, Rämet Mika, Joensuu Heikki, Kere Juha, Pietiläinen Kirsi, Sandholm-Lafferre Niina, Hovatta Iiris, Kajantie Eero, Haapalainen Antti, Pihlajaniemi Taina, Heikinheimo Markku, Ikonen Elina, Niemi Mikko, Ristimäki Ari, Heckman Caroline, Wartiovaara Anu, Myllyharju Johanna, Ollikainen Miina, Kaukinen Katri, Kilpivaara Outi, Lindfors Katri, Aittokallio Tero, Hytönen Vesa, Jussi Posti, Latvala Antti, Oksala Niku, Ritari Jarmo, Koivunen Peppi, Leinonen Ville, Elenius Klaus, Nykter Matti, Putaala Jukka, Eklund Lauri, Kivelä Riikka, Meri Seppo, Ojala Tiina, Tammela Teuvo, Tyynismaa Henna, Visakorpi Tapio, Airavaara Mikko, Hautala Timo, Knip Mikael, Lehtonen Sanna, Lindsberg Perttu, Ojala Päivi, Piltonen Terhi, Saarma Mart"
"Palva Matias",9,286,0.00383948644599644,1.73431581575263e-05,4,"Palva Satu","Palva Satu, Vanhatalo Sampsa, Kaila Kai, Renvall Hanna, Huiskonen Juha"
"Palva Satu",4,228,0,6.37317178158862e-06,4,"Palva Matias","Palva Matias, Kaila Kai, Renvall Hanna"
"Pellinen Teijo",35,593,0.00633513306760688,0.0455657872174567,5,"Leppä Sirpa","Leppä Sirpa, Ketola Kirsi, Ivaska Johanna, Mustjoki Satu, Lundin Johan, Kähäri Veli-Matti, Ungureanu Daniela, Aittokallio Tero, Heino Jyrki, Joensuu Heikki, Alitalo Kari, Heckman Caroline, Ilonen Ilkka, Haglund Caj, Meri Seppo, Salmi Marko, Carpen Olli, Cerullo Vincenzo, Groop Per-Henrik, Hautaniemi Sampsa, Huovinen Tuomas, Olkkonen Vesa, Varjosalo Markku, Haikala Heidi, Mäkitie Antti, Ojala Päivi, Seppälä Toni"
