"author","degree","wdegree","betweenness","eigenvector","community","primary_neighbor_MaxW","primary_neighbors"
"Heikinheimo Markku",23,154,0.0110607665332734,0.0128559083205725,11,"Toppari Jorma","Pakarinen Mikko, Toppari Jorma, Tapanainen Juha, Alitalo Kari, Joensuu Heikki, Palotie Aarno, Ristimäki Ari, Carpen Olli, Mäkitie Antti, Jalkanen Sirpa, Lehtonen Sanna, Lohi Olli, Niemi Mikko, Seppälä Toni, Visakorpi Tapio, Aaltonen Lauri, Aittokallio Tero, Haglund Caj, Lindfors Katri, Otonkoski Timo"
"Heino Jyrki",25,248,0.0121238043790513,0.00707298769339708,5,"Ivaska Johanna","Kähäri Veli-Matti, Ivaska Johanna, Pellinen Teijo, Meri Seppo, Westermarck Jukka, Myllyharju Johanna, Rantakari Pia, Izzi Valerio, Pihlajaniemi Taina, Ketola Kirsi, Leppä Sirpa, Poutanen Matti, Taimen Pekka, Eriksson John, Boström Peter, Elenius Klaus, Saarakkala Simo, Elo Laura, Järvinen Teppo, Roivainen Anne, Rosenholm Jessica"
"Heinäniemi Merja",5,18,0.000125675505843911,0.000704230908414025,10,"Hautaniemi Sampsa","Hautaniemi Sampsa, Lohi Olli, Vähärautio Anna, Kaikkonen-Määttä Minna, Roivainen Anne"
"Hietakangas Ville",26,456,0.00742238540089489,0.0279706503184128,5,"Aittokallio Tero","Westermarck Jukka, Aittokallio Tero, Haikala Heidi, Meinander Annika, Katajisto Pekka, Mattila Jaakko, Sistonen Lea, Otonkoski Timo, Tyynismaa Henna, Eriksson John, Huiskonen Juha, Alitalo Kari, Najumudeen Arafath, Ristimäki Ari, Haapasalo Annakaisa, Varjosalo Markku, Hautaniemi Sampsa, Hovatta Iiris, Kallijärvi Jukka, Lappalainen Pekka, Saarma Mart, Wartiovaara Anu, Rämet Mika"
"Hiltunen Mikko",45,1155,0.00335877763614348,0.0560201368017048,1,"Aalto-Setälä Katriina","Haapasalo Annakaisa, Leinonen Ville, Kälviäinen Reetta, Aalto-Setälä Katriina, Palotie Aarno, Rinne Juha, Carpen Olli, Kaarniranta Kai, Schleutker Johanna, Junttila Juhani, Hovatta Iiris, Laakso Markku, Ganna Andrea, Joensuu Heikki, Mäkitie Antti, Koistinaho Jari, Malm Tarja, Tienari Pentti, Yla Herttuala, Kanninen Katja, Niiranen Teemu, Pirinen Matti, Ollikainen Miina, Tavi Pasi, Tohka Jussi, Huttunen Kristiina, Alitalo Kari, Paakinaho Ville, Seppälä Toni, Ala-Korpela Mika, Kaikkonen-Määttä Minna, Nykter Matti"
"Hirvonen Jussi",17,298,0.00235009557304392,0.00213112061973625,1,"Nummenmaa Lauri","Nummenmaa Lauri, Rinne Juha, Virtanen Kirsi, Roivainen Anne, Laitinen Kirsi, Laakso Markku, Tohka Jussi, Jussi Posti, Mäkitie Antti, Yla Herttuala"
"Hovatta Iiris",37,444,0.017921668337913,0.0148734741177696,1,"Hiltunen Mikko","Hiltunen Mikko, Koistinaho Jari, Aalto-Setälä Katriina, Carpen Olli, Ganna Andrea, Joensuu Heikki, Junttila Juhani, Kaarniranta Kai, Kälviäinen Reetta, Mäkitie Antti, Palotie Aarno, Pietiläinen Kirsi, Tohka Jussi, Laakso Markku, Leinonen Ville, Kere Juha, Kajantie Eero, Wartiovaara Anu, Lehesjoki Anna-Elina, Mäkitie Outi, Roivainen Anne, Tienari Pentti, Tyynismaa Henna, Aaltonen Lauri, Hietakangas Ville, Kanninen Katja, Malm Tarja, Mattila Jaakko, Kaila Kai, Myöhänen Timo, Rinne Juha, Tukiainen Taru"
"Huhtamo Eili",8,188,5.23647941016296e-05,0.00263748871205156,9,"Vapalahti Olli","Vapalahti Olli, Sironen Tarja, Kantele Anu, Kakkola Laura, Tienari Pentti"
"Huiskonen Juha",16,136,0.0148637218701313,0.00106949284595383,9,"Vapalahti Olli","Butcher Sarah, Vapalahti Olli, Sironen Tarja, Paavilainen Ville, Varjosalo Markku, Lappalainen Pekka, Sundberg Lotta-Riina, Hietakangas Ville, Saarma Mart, Voutilainen Merja, Hytönen Vesa, Palva Matias"
"Huovinen Tuomas",3,6,0.000474181723396251,0.000161945195825038,5,"Ivaska Johanna","Pellinen Teijo, Ivaska Johanna"
