"author","degree","wdegree","betweenness","eigenvector","community","primary_neighbor_MaxW","primary_neighbors"
"David H. Hubel",21,478,0,0.87775524727941,3,"Roger Guillemin","Torsten N. Wiesel, Roger Guillemin, Arthur Kornberg, Baruj Benacerraf, Daniel Nathans, David Baltimore, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, Ferid Murad, George E. Palade, Joseph L. Goldstein, Joshua Lederberg, Julius Axelrod, Konrad Bloch, Marshall W. Nirenberg, Phillip A. Sharp, Robert F. Furchgott, Susumu Tonegawa, Thomas H. Weller"
"David Julius",2,12,0,0,13,"John Macleod","John Macleod"
"Dickinson W. Richards",2,16,0,0,6,"André F. Cournand","André F. Cournand"
"Drew Weissman",2,2,0,0.00189164225772611,14,"Torsten N. Wiesel","Torsten N. Wiesel, William Kaelin"
"Edgar Adrian",2,4,0.0423016664292836,0.0000739258411370775,1,"Bernardo Houssay","Bernardo Houssay, George Beadle"
"Edmond H. Fischer",24,508,0,0.909686337018531,3,"Edwin G. Krebs","Edwin G. Krebs, Roger Guillemin, Arthur Kornberg, Baruj Benacerraf, Daniel Nathans, David Baltimore, David H. Hubel, Eric F. Wieschaus, Ferid Murad, George E. Palade, Joseph L. Goldstein, Joshua Lederberg, Julius Axelrod, Konrad Bloch, Marshall W. Nirenberg, Phillip A. Sharp, Robert F. Furchgott, Susumu Tonegawa, Thomas H. Weller, Torsten N. Wiesel, Erwin Neher, Paul Greengard, Richard J. Roberts"
"Edward A. Doisy",8,114,0.000166168162180126,0.0166854664950785,1,"Edward A. Doisy","Albert Szent-Györgyi, Carl Cori, Edward Tatum, Frederick C. Robbins, George Beadle, Thomas H. Weller"
"Edward Tatum",9,90,0.0359255566633433,0.0392852153543316,1,"George Beadle","George Beadle, Joshua Lederberg, Albert Szent-Györgyi, Carl Cori, Edward A. Doisy, Frederick C. Robbins, Thomas H. Weller"
"Edwin G. Krebs",21,488,0,0.900878837014346,3,"Edmond H. Fischer","Edmond H. Fischer, Arthur Kornberg, Baruj Benacerraf, Daniel Nathans, David Baltimore, David H. Hubel, Eric F. Wieschaus, Ferid Murad, George E. Palade, Joseph L. Goldstein, Joshua Lederberg, Julius Axelrod, Konrad Bloch, Marshall W. Nirenberg, Phillip A. Sharp, Robert F. Furchgott, Roger Guillemin, Susumu Tonegawa, Thomas H. Weller, Torsten N. Wiesel"
"Elizabeth H. Blackburn",4,38,0,0.0000964250684210356,11,"Carol W. Greider","Carol W. Greider, Jack W. Szostak"
"Eric F. Wieschaus",22,430,0.0143854151830224,0.773591656270182,3,"Arthur Kornberg","Arthur Kornberg, Baruj Benacerraf, Daniel Nathans, David Baltimore, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Ferid Murad, George E. Palade, Joseph L. Goldstein, Joshua Lederberg, Julius Axelrod, Konrad Bloch, Marshall W. Nirenberg, Phillip A. Sharp, Robert F. Furchgott, Roger Guillemin, Susumu Tonegawa, Thomas H. Weller, Torsten N. Wiesel, Christiane Nüsslein-Volhard"
"Eric Kandel",11,51,0.0610634906248067,0.0489999077839012,7,"Susumu Tonegawa","Susumu Tonegawa, Ferid Murad, Paul Greengard, Renato Dulbecco, Richard J. Roberts, Roger Guillemin, Sydney Brenner, Torsten N. Wiesel, May-Britt Moser, Thomas C. Südhof, Edvard I. Moser"
"Ernst B. Chain",2,4,0,0,12,"Daniel Bovet","Daniel Bovet"
"Erwin Neher",10,59,0.100282146757008,0.0246846963329523,7,"Bert Sakmann","Bert Sakmann, Edmond H. Fischer, Paul Greengard, Richard J. Roberts, Roger Guillemin, Thomas C. Südhof, David Baltimore, Randy W. Schekman"
"Feodor Lynen",3,6,0,0.000197358347648339,1,"Fritz Lipmann","Severo Ochoa, Fritz Lipmann"
"Ferid Murad",27,468,0.026006560816417,0.801920409666672,3,"Roger Guillemin","Roger Guillemin, Susumu Tonegawa, Arthur Kornberg, Baruj Benacerraf, Daniel Nathans, David Baltimore, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, George E. Palade, Joseph L. Goldstein, Joshua Lederberg, Julius Axelrod, Konrad Bloch, Marshall W. Nirenberg, Phillip A. Sharp, Robert F. Furchgott, Thomas H. Weller, Torsten N. Wiesel, Eric Kandel, Paul Greengard, Renato Dulbecco, Richard J. Roberts, Alfred G. Gilman, John R. Vane"
"Francis Crick",24,202,0.0419978160755828,0.154903601208313,10,"César Milstein","César Milstein, Niels K. Jerne, Sydney Brenner, Baruj Benacerraf, David Baltimore, Gerald M. Edelman, Joshua Lederberg, Karl Landsteiner, Peter C. Doherty, Peter Medawar, Rodney R. Porter, Rolf M. Zinkernagel, Susumu Tonegawa, George E. Palade, André Lwoff, Günter Blobel, Jacques Monod, Max Delbrück, Salvador E. Luria, Oliver Smithies, Arthur Kornberg"
"Françoise Barré-Sinoussi",8,69,0.0127466805931412,0.00672298470151539,7,"Luc Montagnier","Luc Montagnier, D. Carleton Gajdusek, Günter Blobel, Thomas C. Südhof, Torsten N. Wiesel, Baruch S. Blumberg, Harold E. Varmus"
"Frederick C. Robbins",9,100,0.0135308360632389,0.0641928283941853,1,"John F. Enders","Thomas H. Weller, John F. Enders, Albert Szent-Györgyi, Carl Cori, Edward A. Doisy, Edward Tatum, George Beadle"
"Fritz Lipmann",9,30,0.127411642623151,0.0149907866824158,1,"Daniel Nathans","Daniel Nathans, Hans Krebs, Albert Szent-Györgyi, Charles B. Huggins, Severo Ochoa, Feodor Lynen, Joshua Lederberg, Otto Meyerhof"
"Gary Ruvkun",12,37,0.0448464131415278,0.0103724582666252,5,"H. Robert Horvitz","H. Robert Horvitz, Craig C. Mello, Victor Ambros, Andrew Z. Fire, Phillip A. Sharp, David Baltimore, Jack W. Szostak, John E. Sulston"
"George Beadle",8,80,0.0558562408014053,0.0171381480224081,1,"Edward Tatum","Edward Tatum, Albert Szent-Györgyi, Carl Cori, Edward A. Doisy, Frederick C. Robbins, Thomas H. Weller, Edgar Adrian"
"George E. Palade",26,458,0.00852680055072877,0.817745248894464,3,"Arthur Kornberg","Arthur Kornberg, Joshua Lederberg, Julius Axelrod, Marshall W. Nirenberg, Baruj Benacerraf, Daniel Nathans, David Baltimore, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, Ferid Murad, Joseph L. Goldstein, Konrad Bloch, Phillip A. Sharp, Robert F. Furchgott, Roger Guillemin, Susumu Tonegawa, Thomas H. Weller, Torsten N. Wiesel, Günter Blobel, Francis Crick, Paul Greengard, Renato Dulbecco"
"George H. Hitchings",2,156,0,0,16,"Gertrude B. Elion","Gertrude B. Elion"
