"community","author","wdegree","primary_neighbors"
15,"Jean Dausset",8,"Baruj Benacerraf, Rolf M. Zinkernagel"
16,"George H. Hitchings",156,"Gertrude B. Elion"
16,"Gertrude B. Elion",156,"George H. Hitchings"
17,"Hans Spemann",2,NA
18,"Ivan Pavlov",2,NA
19,"J. Michael Bishop",14,NA
20,"James Watson",2,NA
21,"Karl von Frisch",2,NA
25,"Sir John Eccles",0,NA
26,"Willem Einthoven",2,NA
