"id","name","display_name","works_count"
"https://openalex.org/A5075763726","Lindsberg Perttu","Perttu J. Lindsberg",246
"https://openalex.org/A5056094841","Kantele Anu","Anu Kantele",260
"https://openalex.org/A5042831400","Luukkonen Panu","Panu K. Luukkonen",87
"https://openalex.org/A5053990597","Kaslin Jan","Jan Kaslin",123
"https://openalex.org/A5000776705","Malm Tarja","Tarja Malm",215
"https://openalex.org/A5041474733","Leinonen Ville","Ville Leinonen",273
"https://openalex.org/A5013500757","Kastaniotis Alexander","Alexander J. Kastaniotis",62
"https://openalex.org/A5043954875","Autio Kaija","Kaija J. Autio",31
"https://openalex.org/A5003353973","Metsä-Ketelä Mikko","Mikko Metsä‐Ketelä",113
"https://openalex.org/A5003543575","Kaukinen Katri","Katri Kaukinen",403
"https://openalex.org/A5008868111","Mustjoki Satu","Satu Mustjoki",675
"https://openalex.org/A5052169456","Kauppi Liisa","Liisa Kauppi",189
"https://openalex.org/A5002072250","Myllyharju Johanna","Johanna Myllyharju",183
"https://openalex.org/A5081442384","Kekäläinen Eliisa","Eliisa Kekäläinen",115
"https://openalex.org/A5007965763","Mäkitie Antti","Antti Mäkitie",747
"https://openalex.org/A5100712980","Kere Juha","Juha Kere",912
"https://openalex.org/A5064764888","Mäkitie Outi","Outi Mäkitie",580
"https://openalex.org/A5068521318","Kerkelä Risto","Risto Kerkelä",132
"https://openalex.org/A5062771849","Najumudeen Arafath","Arafath K. Najumudeen",79
"https://openalex.org/A5040800642","Ketola Kirsi","Tuomas Mirtti",433
"https://openalex.org/A5012308854","Namba Takashi","Takashi Namba",181
"https://openalex.org/A5064183750","Kilpivaara Outi","Outi Kilpivaara",128
"https://openalex.org/A5087038443","Wartiovaara-Kautto Ulla","Ulla Wartiovaara‐Kautto",76
"https://openalex.org/A5081976107","Niiranen Teemu","Teemu Niiranen",548
"https://openalex.org/A5026112520","Kinnunen Tuure","Tuure Kinnunen",78
"https://openalex.org/A5021694719","Nummenmaa Lauri","Lauri Nummenmaa",338
"https://openalex.org/A5026249203","Kivelä Riikka","Riikka Kivelä",103
"https://openalex.org/A5063194021","Nykter Matti","Matti Nykter",479
"https://openalex.org/A5039187209","Koivunen Jussi","Jussi Koivunen",172
"https://openalex.org/A5089738692","Nymark Soile","Soile Nymark",110
"https://openalex.org/A5064764393","Kontro Mika","Mika Kontro",233
"https://openalex.org/A5020347192","Ojala Päivi","Päivi M. Ojala",167
"https://openalex.org/A5060799986","Kursula Inari","Inari Kursula",115
"https://openalex.org/A5033876312","Ojala Tiina","Tiina Ojala",154
"https://openalex.org/A5011186052","Kursula Petri","Petri Kursula",401
"https://openalex.org/A5034283186","Otonkoski Timo","Timo Otonkoski",310
"https://openalex.org/A5041488438","Kähäri Veli-Matti","Veli‐Matti Kähäri",325
"https://openalex.org/A5085708490","Palotie Aarno","Aarno Palotie",1234
"https://openalex.org/A5029683473","Lahesmaa Riitta","Riitta Lahesmaa",332
"https://openalex.org/A5102991473","Palva Matias","J. Matias Palva",169
"https://openalex.org/A5037107967","Latvala Antti","Antti Latvala",199
"https://openalex.org/A5045356137","Palva Satu","Satu Palva",139
"https://openalex.org/A5042806203","Lehesjoki Anna-Elina","Anna‐Elina Lehesjoki",575
